Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
42.8414,5.9280,61.76,119.00,0.017286
42.9225,5.9280,61.76,119.00,0.016691
43.0045,5.9280,62.30,119.00,0.016909
43.0847,5.9280,61.76,119.00,0.016693
43.1685,5.9280,61.76,119.00,0.016633
43.2521,5.9280,62.03,119.50,0.016943
43.3374,5.9280,61.22,120.00,0.017138
43.4214,5.9280,61.76,120.00,0.017198
43.5054,5.9620,61.76,120.00,0.017739
43.5892,5.9960,62.30,120.00,0.017185
43.6722,5.9960,61.76,120.00,0.017174
43.7543,5.9960,61.49,120.00,0.017026
43.8378,5.9960,61.76,120.00,0.017064
43.9189,5.9960,61.76,120.00,0.017381
44.0015,5.9960,62.30,120.00,0.016787
44.0832,5.9960,62.03,120.00,0.017072
44.1686,5.9960,61.76,120.00,0.017398
44.2498,5.9960,62.30,120.00,0.017025
44.3333,5.9960,61.49,120.00,0.017057
44.4151,5.9960,62.03,120.00,0.017774
44.4984,5.9960,61.76,120.00,0.017283
44.5828,6.0270,61.49,120.00,0.016895
44.6652,6.0270,61.49,120.00,0.016796
44.7473,6.0270,61.76,120.00,0.017295
44.8311,6.0270,61.76,120.00,0.017586
44.9125,6.0270,62.30,120.00,0.017153
44.9982,6.0270,61.76,120.00,0.017680
45.0822,6.0270,61.49,120.00,0.017405
45.1674,6.0270,61.76,120.00,0.016747
45.2520,6.0270,61.76,120.00,0.017695
45.3385,6.0270,62.30,120.00,0.017810
45.4227,6.0270,61.49,120.00,0.017189
45.5088,5.9485,62.03,120.00,0.017201
45.5955,5.8700,61.49,120.00,0.017128
45.6817,5.8700,62.30,120.00,0.017138
45.7666,5.8700,62.03,120.00,0.017514
45.8523,5.8700,62.03,120.00,0.017259
45.9369,5.8700,62.30,120.00,0.017128
46.0220,5.8700,61.76,120.00,0.017418
46.1062,5.8700,62.30,120.00,0.017475
46.1882,5.8700,61.49,120.00,0.016672
46.2685,5.8700,62.03,120.00,0.016773
46.3525,5.8700,61.76,120.00,0.016456
46.4344,5.8700,61.22,120.00,0.017245
46.5181,5.9310,61.22,120.00,0.017696
46.6028,5.9920,62.30,120.00,0.017889
46.6881,5.9920,61.76,120.00,0.017379
46.7727,5.9920,61.49,120.00,0.017543
46.8587,5.9920,62.03,120.00,0.017323
46.9426,5.9920,61.49,120.00,0.017313
47.0246,5.9920,61.49,120.00,0.016792
47.1094,5.9920,61.22,120.00,0.016814
47.1935,5.9920,61.76,120.00,0.016656
47.2747,5.9920,61.76,120.00,0.017340
47.3580,5.9920,61.76,120.00,0.017286
47.4420,5.9920,61.49,120.00,0.017210
47.5255,5.9235,62.03,121.00,0.017327
47.6081,5.8550,62.03,121.00,0.017886
47.6915,5.8550,62.03,121.00,0.017587
47.7729,5.8550,62.03,121.00,0.017240
47.8586,5.8550,61.49,121.00,0.017318
47.9466,5.8550,61.49,121.00,0.018384
48.0370,5.8550,61.49,121.00,0.017420
48.1276,5.8550,62.03,121.00,0.017803
48.2162,5.8550,61.49,121.00,0.017901
48.3025,5.8550,61.76,121.00,0.017464
48.3912,5.8550,61.49,121.00,0.017528
48.4793,5.8550,62.03,121.00,0.018095
48.5713,5.9050,61.76,121.00,0.018054
48.6591,5.9050,61.22,121.00,0.018193
48.7481,5.9050,62.03,120.50,0.018070
48.8330,5.9050,61.76,120.00,0.016481
48.9168,5.9050,61.22,120.00,0.016322
48.9974,5.9050,61.76,120.00,0.016529
49.0835,5.9050,62.03,120.50,0.017748
49.1720,5.9050,61.76,120.00,0.017949
49.2589,5.9050,62.03,120.00,0.017384
49.3484,5.9050,61.76,120.00,0.017906
49.4411,5.9050,61.49,120.00,0.018946
49.5309,5.8840,61.76,120.00,0.018090
49.6230,5.8630,61.76,120.00,0.017691
49.7083,5.8630,61.76,120.50,0.016359
49.7936,5.8630,61.22,121.00,0.017050
49.8757,5.8630,62.03,121.00,0.016765
49.9669,5.8630,62.03,121.00,0.017520
50.0537,5.8630,61.76,121.00,0.017636
50.1425,5.8630,61.76,120.50,0.018167
50.2274,5.8630,61.49,120.00,0.017451
50.3162,5.8630,61.22,120.00,0.017763
50.4018,5.8630,61.22,120.00,0.018197
50.4902,5.8630,62.30,120.50,0.017468
50.5785,5.9280,61.49,121.00,0.017870
50.6682,5.9280,61.76,121.00,0.018408
50.7582,5.9280,62.03,120.50,0.018736
50.8448,5.9280,62.03,120.00,0.017858
50.9332,5.9280,62.03,120.00,0.017025
51.0228,5.9280,61.76,120.00,0.017584
51.1105,5.9280,61.76,120.00,0.017896
51.1999,5.9280,61.76,120.50,0.017340
51.2805,5.9280,62.03,120.00,0.016443
